Particles	Type	Mass	spin	color	g	QCD
γ 	boson	     0 	2 	1 	2	False
W+,W−	boson	     80.4GeV	3 	1 	6	False
Z	boson	     91.2GeV	3 	1 	3	False
Gluons 	boson	     0 	2 	8 	16	True
Higgs 	boson	     125.3GeV	1 	1 	1	False
u,u¯	fermion	     2MeV	2 	3 	12	True
d,d¯	fermion	    5MeV	2 	3 	12	True
s,s¯	fermion	    100MeV	2 	3 	12	True
c,c¯	fermion	    1GeV	2 	3 	12	True
b,b¯	fermion	    4GeV	2 	3 	12	True
t,t¯	fermion	    173GeV	2 	3 	12	True
e+,e−	fermion	    0.511MeV	2 	1 	4	False
μ+,μ−	fermion	    105.7MeV	2 	1 	4	False
τ+,τ−	fermion	    1.777GeV	2 	1 	4	False
pions	boson	    135MeV	1 	1 	3	False
νe,νe¯	fermion	    <3eV	1 	1 	2	False
νμ,νμ¯	fermion	    <0.19MeV	1 	1 	2	False
ντ,ντ¯	fermion	    <18.2MeV	1 	1 	2	False
